t,I
1.6,91.03228759765625
1.8,90.02066040039062
2.0,90.48189544677734
2.2,90.33134460449219
2.4000000000000004,90.09162902832031
2.6,88.75037384033203
2.8000000000000003,89.47356414794922
3.0,87.9547119140625
3.2,86.55169677734375
3.4000000000000004,86.16828155517578
3.6,85.80569458007812
3.8000000000000003,85.260009765625
4.0,84.54801940917969
4.2,83.75566864013672
4.4,83.44612884521484
4.6000000000000005,82.69483184814453
4.800000000000001,82.79336547851562
5.0,81.013671875
5.2,80.28119659423828
5.4,79.03389739990234
5.6000000000000005,77.42869567871094
5.800000000000001,76.34217834472656
6.0,74.55318450927734
6.2,73.61238861083984
6.4,72.15198516845703
6.6000000000000005,70.1785888671875
6.800000000000001,68.47623443603516
7.0,66.63328552246094
7.2,66.48920440673828
7.4,64.01033782958984
7.6000000000000005,61.54219055175781
7.800000000000001,61.23390197753906
8.0,60.128902435302734
8.200000000000001,58.70992660522461
8.4,57.968570709228516
8.6,59.62334442138672
8.8,59.761566162109375
9.0,55.6993522644043
9.200000000000001,55.175262451171875
9.4,56.31496047973633
9.600000000000001,54.57527542114258
9.8,56.22895812988281
10.0,53.142539978027344
